EmailType,Subject,BodyTemplate
VISITOR_APPROVED,Your Visitor Pass is Ready,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
VISITOR_REJECTED,Visitor Request Update,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
VISITOR_AT_GATE,Visitor Awaiting Your Approval,"<p>Dear {{recipientName}},</p><p>{{message}}</p><p>Please log in to approve or reject the visit.</p>"
VISITOR_REGISTERED,Your Visitor Pass & QR Code,"<p>Dear {{recipientName}},</p><p>Please find your visit QR code below — present it at the gate for check-in and check-out.</p><p><img src=""{{QrCode}}"" alt=""Visit QR Code"" width=""200"" height=""200"" /></p><p>Visit Date: {{VisitDate}}</p><p>Keep this email handy; the QR code is required for both entry and exit.</p>"
VISITOR_CHECKED_IN,Visitor Has Arrived,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
VISITOR_CHECKED_OUT,Visitor Has Left,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_RAISED,Complaint Registered,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_RESOLVED,Your Complaint Has Been Resolved,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_ESCALATED,Complaint Escalation Notice,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
BOOKING_CONFIRMED,Booking Confirmation,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
BOOKING_CANCELLED,Booking Cancellation Notice,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
BOOKING_REMINDER,Reminder: Upcoming Booking Tomorrow,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
GENERAL_ALERT,Community Notice,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"EmailType,Subject,BodyTemplate
VISITOR_APPROVED,Your Visitor Pass is Ready,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
VISITOR_REJECTED,Visitor Request Update,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
VISITOR_AT_GATE,Visitor Awaiting Your Approval,"<p>Dear {{recipientName}},</p><p>{{message}}</p><p>Please log in to approve or reject the visit.</p>"
VISITOR_CHECKED_IN,Visitor Has Arrived,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
VISITOR_CHECKED_OUT,Visitor Has Left,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_RAISED,Complaint Registered,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_RESOLVED,Your Complaint Has Been Resolved,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_ESCALATED,Complaint Escalation Notice,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
BOOKING_CONFIRMED,Booking Confirmation,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
BOOKING_CANCELLED,Booking Cancellation Notice,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
BOOKING_REMINDER,Reminder: Upcoming Booking Tomorrow,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
GENERAL_ALERT,Community Notice,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_ASSIGNED,Complaint Assignment Update,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_IN_PROGRESS,Work Has Started on Your Complaint,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_ACCEPTED,Staff Accepted Your Complaint,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_DENIED,Staff Denied Your Complaint,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_RATING_SUBMITTED,Resident Submitted a Staff Rating,"<p>Dear {{recipientName}},</p><p>{{message}}</p>"
COMPLAINT_RATING_REQUEST,Please Rate Your Staff,"<p>Dear {{recipientName}},</p><p>{{message}}</p><p>Please log in to leave a rating and comments.</p>"
